business_name,city,state,website,phone,contact_method,industry,likely_opportunity,priority_score,to_email,status,email_sent,sent_at,followup_due,scan_notes,contact_note,contactability,facebook_url,instagram_url,contact_form_url,social_channels,social_dm_text,lat,lng
Lars Plumbing,Rockford,IL,https://www.larsplumbing.com/contact-us,8153788686,email,plumbing,,,john@larsplumbing.com,sent,true,2026-03-14T20:40:50.991149+00:00,,,,,,,,,,,
Handyman Connection of Rockford,Rockford,IL,https://handymanconnection.com/rockford/?utm_source=gbp&utm_medium=organic&utm_campaign=GBP-Website-Link,8159632226,email,plumbing,,,hc2603@handymanconnection.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
Total Sewer & Drain,Rockford,IL,https://www.totalseweranddrain.net/,8152420452,email,plumbing,,,alex@totalph.net,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
Rescue Plumbing,chicago,IL,https://www.myrescueplumbing.com/,7732196071,email,plumbing,,,office@myrescueplumbing.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
Goode Plumbing,chicago,IL,https://goodeplumbing.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBListing-Chicago-IL,7732808496,email,plumbing,,,m-home-banner@2x.webp,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
"Vanguard Plumbing and Sewer, Inc.",chicago,IL,https://vanguardplumbingandsewer.com/?utm_campaign=gmb,7737410131,email,plumbing,,,vanguardplumbing@gmail.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
Apex Plumbing & Sewer Inc.,chicago,IL,https://www.apexplumbingchicago.com/,7734777714,email,plumbing,,,office@apexplumbingchicago.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
J Sewer & Drain Plumbing,chicago,IL,https://www.jsewerandplumbing.com/,7739682704,email,plumbing,,,jsewerdrainplumbing@gmail.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
First Chicago Plumbing,chicago,IL,http://firstchicagoplumbing.com/?utm_campaign=gmb,8472623786,email,plumbing,,,info@firstchicagoplumbing.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
"Lopez Plumbing Systems, Inc.",chicago,IL,http://www.lopezplumbingsystems.com/,7734248225,email,plumbing,,,info@lopezplumbingsystems.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
"Power Plumbing & Sewer Contractor, Inc.",chicago,IL,https://powerplumbinginc.com/,7732489574,email,plumbing,,,power@powerplumbinginc.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
24 HR Emergency Plumber Chicago INC,chicago,IL,https://24hremergencyplumberchicago1.com/,7088475349,email,plumbing,,,clomoteyseo@gmail.com,sent,true,2026-03-14T21:11:09.441997+00:00,,,,,,,,,,,
U.S. Allied Plumbing & HVAC,,IL,,,,plumbing,,,,sent,true,2026-03-15T04:27:36.585514+00:00,,,seeded from Gmail history - details unknown,,,,,,,,
Oliphant Lock & Safe,,IL,,,,locksmith,,,,sent,true,2026-03-15T04:27:36.585514+00:00,,,seeded from Gmail history - details unknown,,,,,,,,
M Spinello & Son Locksmiths Safe & Security Experts,,IL,,,,locksmith,,,,sent,true,2026-03-15T04:27:36.585514+00:00,,,seeded from Gmail history - details unknown,,,,,,,,
I. Spinello Locksmiths & Security Integrators,,IL,,,,locksmith,,,,sent,true,2026-03-15T04:27:36.585514+00:00,,,seeded from Gmail history - details unknown,,,,,,,,
Allen Heating & Cooling,Rockford,IL,http://www.allenheatcool.com,8152988020,email,plumbing,,,allenheatcool@yahoo.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2689 lng=-89.0928 r=2000m,,email_found,https://www.facebook.com/AllenHeatingandCoolinginc,,http://www.allenheatcool.com/contact-us/,"email_found,facebook_found",Hey Allen Heating & Cooling — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2685064,-89.0873486
Rockford Heating & Air Conditioning,Rockford,IL,https://www.rockfordheating.com,8159659494,email,plumbing,,,rockfordheating@gmail.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2689 lng=-89.0928 r=2000m,,email_found,https://www.facebook.com/rockfordheating,,https://www.rockfordheating.com/request-info-form,"email_found,facebook_found",Hey Rockford Heating & Air Conditioning — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.2501582,-89.09636239999999
Rockford Door Company,Rockford,IL,https://www.rockfordgaragedoor.com,8153975903,email,garage_door,,,rockforddoorcompany@gmail.com,sent,true,2026-03-16T01:24:05.683172+00:00,,area search lat=42.2773 lng=-89.0976 r=25904m,,email_found,,,https://www.rockfordgaragedoor.com/contact-us/,email_found,Hey Rockford Door Company — quick question. Do you ever miss calls when your team is out on jobs? I set up a simple text-back line for service companies in Rockford that replies to missed callers automatically. Happy to send a quick example — just let me know!,42.256724299999995,-89.0531304
